Pageurl,Title,Review Text,Review Color,User Verified,Review Date,Review Useful Count,Configuration Text,Rating,Declaration Text
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4299?pageNumber=4299,Three Stars,Not great speakers,Black,Verified Purchase,10/3/2017,,Echo Dot,3,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4299?pageNumber=4299,Four Stars,Great little gagit,White,Verified Purchase,9/26/2017,,Echo Dot,4,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4657?pageNumber=4657,Awesome!,Awesome 👏🏽,White,Verified Purchase,9/8/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4657?pageNumber=4657,Five Stars,Love my Echo,Black,Verified Purchase,10/19/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4657?pageNumber=4657,Five Stars,Great device,Black,Verified Purchase,9/17/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1385?pageNumber=1385,Dot,I really enjoy itI,Black,Verified Purchase,9/19/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1385?pageNumber=1385,Getttt it,"Awesome product! However, it does take time for Alexa to recognize other language when asked to play Spanish music and after a while she’ll turn off by it self.",Black,Verified Purchase,10/21/2017,,Echo Dot,4,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1385?pageNumber=1385,Great for what it is!,"Great for what it is. I have the Echo Show, the original Amazon Echo, and the Echo Dot. Works like advertised. Not using it for music, I have it in the kitchen.",Black,Verified Purchase,9/17/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1587?pageNumber=1587,Died suddenly,Died after a few months and not eligible for return. Fun while it lasted.,Black,Verified Purchase,10/11/2017,,Echo Dot,1,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4?pageNumber=4,Awesome for music lovers when paired with a sound system,"I bought two of these to use in my house, and gave one to my bro for this birthday.  I connected each of mine to a high-quality powered subwoofer and a pair of cheap, powered bookshelf speakers that I had lying around, and the music quality is really great.  Using a good subwoofer really makes a huge difference in music sound quality, since the Dot has a small speaker that's really meant for voice only.  With the Alexa app on my phone, I especially like how I can play different songs in each room, or have the same songs playing in all rooms.These devices can be especially useful for the elderly, or anyone living alone.  For example, I ask Alexa to read me the news while I'm getting ready for work, and to ""play rock songs from my library"" when I'm prepping for an evening of heavy partying, lol :-DTo use Echo to listen for free to music that you already own, you can upload songs from your CD or hard drive collection to your Amazon Music library.  Then Alexa will search through those songs first when you ask her to play a song by a specific name/artist/album/genre.  And I think they have implemented some kind of smart uploading system so it doesn't bother actually uploading all the data for songs that are already in Amazon's library -- I have found that this makes the uploading process really fast in many cases.I am constantly amazed by the features that Amazon has packed into these systems.  I feel a bit insecure about it using The Cloud to store my information, as I'm certain it will get hacked one of these days.  But hey, welcome to the future, where Your Privacy is a Distant Memory!™",Black,Verified Purchase,10/11/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4?pageNumber=4,Had to get more than one!,"What more can I say that people don’t already know? It amazes me that while Apple ran with Siri and Microsoft battled them by offering Cortana... that Amazon snuck up and beat them both at their own game.I use Echo to it’s fullest. Adding calendar events, to-do stuff, controlling the lights and heating in my house, etc. I got a second unit that is wall mounted in the master bathroom so I can get my news updates in the morning and shout out songs I want to hear from the shower.Did I mention the games and interactive stories? Last winter my family sat around the fire running Alexa through her paces.Can’t wait to see what’s next!",White,Verified Purchase,9/27/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4?pageNumber=4,This is the greatest thing since chocolate,"Alexa...You rock!! OMG people. I am not a tech wizard, not even a little. I can read and follow instructions but that's about it! This is the greatest thing since chocolate! SERIOUSLY! Alexa has become my new Bff! She teaches me new things everyday. Can't remember the words to a song? Ask Alexa. Need a new recipe for chili con queso dip, you're covered! Set an alarm, lock your doors,  find the capital of Azerbaijan,  Alexa is an absolute treasure trove of information! I've purchased three of these for family and friends and we absolutely LOVE them. You will likely think of thousands of ways to utilize all of the available programming capabilities. For me, I'm just delighted to have a endless source of knowledge and entertainment. If you're even a little ""tech savvy,"" you will find a million ways to make this little dot work for you! Don't be shy, If I can use it, ANYONE can!",Black,Verified Purchase,10/9/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1286?pageNumber=1286,great gift!,Arrived quickly...great gift!!,Black,Verified Purchase,9/28/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1286?pageNumber=1286,Love it!,I love using Alexa with the smart outlets for my small appliances like fan and lights.  She's great for playing music also.  The Dot seems to have good enough speakers for my purposes!,White,Verified Purchase,9/20/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1286?pageNumber=1286,Five Stars,I like it!!  I wish it would interface more without all of the add ons -,Black,Verified Purchase,9/7/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1775?pageNumber=1775,Five Stars,The best toy I bought myself in a long time.,Black,Verified Purchase,10/8/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1775?pageNumber=1775,Five Stars,Alexa is the best,Black,Verified Purchase,9/6/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1434?pageNumber=1434,Happy with her Dot,Cant say enough !!I love my DOT!!!!,Black,Verified Purchase,10/8/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1560?pageNumber=1560,Three Stars,Not sure I know how to work this just yet.,White,Verified Purchase,10/8/2017,,Echo Dot,3,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1560?pageNumber=1560,Three Stars,echo dot,Black,Verified Purchase,9/14/2017,,Echo Dot,3,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_1560?pageNumber=1560,This is the second one for the house.,Love the echo!,Black,Verified Purchase,9/8/2017,,Echo Dot,5,
https://www.amazon.com/All-New-Amazon-Echo-Dot-Add-Alexa-To-Any-Room/product-reviews/B01DFKC2SO/ref=cm_cr_arp_d_paging_btm_4019?pageNumber=4019,Five Stars,Arrived same day and I am learning tool features.,Black,Verified Purchase,9/7/2017,,Echo Dot,5,
